Name,Code
Huyện Vĩnh Bảo,316
Huyện Cát Hải,317
Thành phố Hưng Yên,323
Huyện Văn Lâm,325
Huyện Văn Giang,326
Huyện Yên Mỹ,327
Huyện Mỹ Hào,328
Huyện Ân Thi,329
Huyện Khoái Châu,330
Huyện Kim Động,331
Huyện Tiên Lữ,332
Huyện Phù Cừ,333
Thành phố Thái Bình,336
Huyện Quỳnh Phụ,338
Huyện Hưng Hà,339
Huyện Đông Hưng,340
Huyện Thái Thụy,341
Huyện Tiền Hải,342
Huyện Kiến Xương,343
Huyện Vũ Thư,344
Thành phố Phủ Lý,347
Huyện Duy Tiên,349
Huyện Kim Bảng,350
Huyện Thanh Liêm,351
Huyện Bình Lục,352
Huyện Lý Nhân,353
Thành phố Nam Định,356
Huyện Mỹ Lộc,358
Huyện Vụ Bản,359
Huyện Ý Yên,360
Huyện Nghĩa Hưng,361
Huyện Nam Trực,362
Huyện Trực Ninh,363
Huyện Xuân Trường,364
Huyện Giao Thủy,365
Huyện Hải Hậu,366
Thành phố Ninh Bình,369
Thành phố Tam Điệp,370
Huyện Nho Quan,372
Huyện Gia Viễn,373
Huyện Hoa Lư,374
Huyện Yên Khánh,375
Huyện Kim Sơn,376
Huyện Yên Mô,377
Thành phố Thanh Hóa,380
Thị xã Bỉm Sơn,381
Thành phố Sầm Sơn,382
Huyện Mường Lát,384
Huyện Quan Hóa,385
Huyện Bá Thước,386
Huyện Quan Sơn,387
Huyện Lang Chánh,388
Huyện Ngọc Lặc,389
Huyện Cẩm Thủy,390
Huyện Thạch Thành,391
Huyện Hà Trung,392
Huyện Vĩnh Lộc,393
Huyện Yên Định,394
Huyện Thọ Xuân,395
Huyện Thường Xuân,396
Huyện Triệu Sơn,397
Huyện Thiệu Hóa,398
Huyện Hoằng Hóa,399
Huyện Hậu Lộc,400
Huyện Nga Sơn,401
Huyện Như Xuân,402
Huyện Như Thanh,403
Huyện Nông Cống,404
Huyện Đông Sơn,405
Huyện Quảng Xương,406
Huyện Tĩnh Gia,407
Thành phố Vinh,412
Thị xã Cửa Lò,413
Thị xã Thái Hoà,414
Huyện Quế Phong,415
Huyện Quỳ Châu,416
Huyện Kỳ Sơn,417
Huyện Tương Dương,418
Huyện Nghĩa Đàn,419
Huyện Quỳ Hợp,420
Huyện Quỳnh Lưu,421
Huyện Con Cuông,422
Huyện Tân Kỳ,423
Huyện Anh Sơn,424
Huyện Diễn Châu,425
Huyện Yên Thành,426
Huyện Đô Lương,427
Huyện Thanh Chương,428
Huyện Nghi Lộc,429
Huyện Nam Đàn,430
Huyện Hưng Nguyên,431
Thị xã Hoàng Mai,432
Thành phố Hà Tĩnh,436
Thị xã Hồng Lĩnh,437
Huyện Hương Sơn,439
Huyện Đức Thọ,440
Huyện Vũ Quang,441
Huyện Nghi Xuân,442
Huyện Can Lộc,443
Huyện Hương Khê,444
Huyện Thạch Hà,445
Huyện Cẩm Xuyên,446
Huyện Kỳ Anh,447
Huyện Lộc Hà,448
Thị xã Kỳ Anh,449
Thành Phố Đồng Hới,450
Huyện Minh Hóa,452
Huyện Tuyên Hóa,453
Huyện Quảng Trạch,454
Huyện Bố Trạch,455
Huyện Quảng Ninh,456
Huyện Lệ Thủy,457
Thị xã Ba Đồn,458
Thành phố Đông Hà,461
Thị xã Quảng Trị,462
Huyện Vĩnh Linh,464
Huyện Hướng Hóa,465
Huyện Gio Linh,466
Huyện Đa Krông,467
Huyện Cam Lộ,468
Huyện Triệu Phong,469
Huyện Hải Lăng,470
Thành phố Huế,474
Huyện Phong Điền,476
Huyện Quảng Điền,477
Huyện Phú Vang,478
Thị xã Hương Thủy,479
Thị xã Hương Trà,480
Huyện A Lưới,481
Huyện Phú Lộc,482
Huyện Nam Đông,483
Quận Liên Chiểu,490
Quận Thanh Khê,491
Quận Hải Châu,492
Quận Sơn Trà,493
Quận Ngũ Hành Sơn,494
Quận Cẩm Lệ,495
Huyện Hòa Vang,497
Thành phố Tam Kỳ,502
Thành phố Hội An,503
Huyện Tây Giang,504
Huyện Đông Giang,505
Huyện Đại Lộc,506
Thị xã Điện Bàn,507
Huyện Duy Xuyên,508
Huyện Quế Sơn,509
Huyện Nam Giang,510
Huyện Phước Sơn,511
Huyện Hiệp Đức,512
Huyện Thăng Bình,513
Huyện Tiên Phước,514
Huyện Bắc Trà My,515
Huyện Nam Trà My,516
Huyện Núi Thành,517
Huyện Phú Ninh,518
Huyện Nông Sơn,519
Thành phố Quảng Ngãi,522
Huyện Bình Sơn,524
Huyện Trà Bồng,525
Huyện Tây Trà,526
Huyện Sơn Tịnh,527
Huyện Tư Nghĩa,528
Huyện Sơn Hà,529
Huyện Sơn Tây,530
Huyện Minh Long,531
Huyện Nghĩa Hành,532
Huyện Mộ Đức,533
Huyện Đức Phổ,534
Huyện Ba Tơ,535
Huyện Lý Sơn,536
Thành phố Qui Nhơn,540
Huyện An Lão,542
Huyện Hoài Nhơn,543
Huyện Hoài Ân,544
Huyện Phù Mỹ,545
Huyện Vĩnh Thạnh,546
Huyện Tây Sơn,547
Huyện Phù Cát,548
Thị xã An Nhơn,549
Huyện Tuy Phước,550
Huyện Vân Canh,551
Thành phố Tuy Hoà,555
Thị xã Sông Cầu,557
Huyện Đồng Xuân,558
Huyện Tuy An,559
Huyện Sơn Hòa,560
Huyện Sông Hinh,561
Huyện Tây Hoà,562
Huyện Phú Hoà,563
Huyện Đông Hòa,564
Thành phố Nha Trang,568
Thành phố Cam Ranh,569
Huyện Cam Lâm,570
Huyện Vạn Ninh,571
Thị xã Ninh Hòa,572
Huyện Khánh Vĩnh,573
Huyện Diên Khánh,574
Huyện Khánh Sơn,575
Huyện Trường Sa,576
Thành phố Phan Rang-Tháp Chàm,582
Huyện Bác Ái,584
Huyện Ninh Sơn,585
Huyện Ninh Hải,586
Huyện Ninh Phước,587
Huyện Thuận Bắc,588
Huyện Thuận Nam,589
Thành phố Phan Thiết,593
Thị xã La Gi,594
Huyện Tuy Phong,595
Huyện Bắc Bình,596
Huyện Hàm Thuận Bắc,597
Huyện Hàm Thuận Nam,598
Huyện Tánh Linh,599
Huyện Đức Linh,600
Huyện Hàm Tân,601
Huyện Phú Quí,602
Thành phố Kon Tum,608
Huyện Đắk Glei,610
Huyện Ngọc Hồi,611
Huyện Đắk Tô,612
Huyện Kon Plông,613
Huyện Kon Rẫy,614
Huyện Đắk Hà,615
Huyện Sa Thầy,616
Huyện Tu Mơ Rông,617
Huyện Ia H' Drai,618
Thành phố Pleiku,622
Thị xã An Khê,623
Thị xã Ayun Pa,624
Huyện KBang,625
Huyện Đăk Đoa,626
Huyện Chư Păh,627
Huyện Ia Grai,628
Huyện Mang Yang,629
Huyện Kông Chro,630
Huyện Đức Cơ,631
Huyện Chư Prông,632
Huyện Chư Sê,633
Huyện Đăk Pơ,634
Huyện Ia Pa,635
Huyện Krông Pa,637
Huyện Phú Thiện,638
Huyện Chư Pưh,639
Thành phố Buôn Ma Thuột,643
Thị Xã Buôn Hồ,644
Huyện Ea H'leo,645
Huyện Ea Súp,646
Huyện Buôn Đôn,647
Huyện Cư M'gar,648
Huyện Krông Búk,649
Huyện Krông Năng,650
Huyện Ea Kar,651
Huyện M'Đrắk,652
Huyện Krông Bông,653
Huyện Krông Pắc,654
Huyện Krông A Na,655
Huyện Lắk,656
Huyện Cư Kuin,657
Thị xã Gia Nghĩa,660
Huyện Đăk Glong,661
Huyện Cư Jút,662
Huyện Đắk Mil,663
Huyện Krông Nô,664
Huyện Đắk Song,665
Huyện Đắk R'Lấp,666
Huyện Tuy Đức,667
Thành phố Đà Lạt,672
Thành phố Bảo Lộc,673
Huyện Đam Rông,674
Huyện Lạc Dương,675
Huyện Lâm Hà,676
Huyện Đơn Dương,677
Huyện Đức Trọng,678
Huyện Di Linh,679
Huyện Bảo Lâm,680
Huyện Đạ Huoai,681
Huyện Đạ Tẻh,682
Huyện Cát Tiên,683
Thị xã Phước Long,688
Thị xã Đồng Xoài,689
Thị xã Bình Long,690
Huyện Bù Gia Mập,691
Huyện Lộc Ninh,692
Huyện Bù Đốp,693
Huyện Hớn Quản,694
Huyện Đồng Phú,695
Huyện Bù Đăng,696
Huyện Chơn Thành,697
Huyện Phú Riềng,698
Thành phố Tây Ninh,703
Huyện Tân Biên,705
Huyện Tân Châu,706
Huyện Dương Minh Châu,707
